run	seg	comp	opt	ocr	total
1.0	18.215456247329712	250.02346968650818	1.4700088500976562	96.95420932769775	366.6631441116333
2.0	18.398626565933228	252.04468250274658	1.805328369140625	97.1850357055664	369.43367314338684
3.0	18.38249635696411	305.3508062362671	1.6045713424682617	97.04882216453552	422.386696100235
4.0	18.107009172439575	257.79731583595276	1.6391322612762451	97.78695440292358	375.33041167259216
5.0	18.537381649017334	247.54469418525696	1.8913850784301758	97.68423175811768	365.65769267082214
6.0	18.3412184715271	244.10314965248108	1.8380012512207031	96.7206711769104	361.0030405521393
7.0	18.186408281326294	247.30787253379822	1.6598553657531738	96.62349891662598	363.77763509750366
8.0	18.09741973876953	253.71824860572815	1.7989988327026367	97.61639046669006	371.2310576438904
9.0	18.159592151641846	245.03884029388428	1.606588363647461	95.78384137153625	360.58886218070984
10.0	18.42493772506714	250.54235768318176	1.7999122142791748	97.53825497627258	368.30546259880066
