run	seg	pre	pool	total
1.0	20.608391761779785	60.553688526153564	66.98743867874146	148.1495189666748
2.0	20.31621503829956	62.53566336631775	68.98711085319519	151.8389892578125
3.0	24.503796339035034	71.83685874938965	71.28075861930847	167.62141370773315
4.0	19.73895287513733	62.80762028694153	73.45386981964111	156.00044298171997
5.0	24.91795516014099	63.16195750236511	72.52440762519836	160.60432028770447
6.0	20.762590646743774	62.20289373397827	72.67817854881287	155.6436629295349
7.0	20.30250883102417	64.60662078857422	71.25171494483948	156.16084456443787
8.0	25.00452733039856	67.96120810508728	72.32369303703308	165.28942847251892
9.0	24.146230936050415	82.76950573921204	67.37395715713501	174.28969383239746
10.0	20.663619995117188	69.4378969669342	68.37253546714783	158.47405242919922
