run	load	comp	opt	total
1.0	0.5084924697875977	1.0821819305419922	0.11530113220214844	1.7059755325317383
2.0	0.47804737091064453	0.5358471870422363	0.06155848503112793	1.0754530429840088
3.0	0.4122931957244873	0.4862327575683594	0.0713510513305664	0.9698770046234131
4.0	0.4853973388671875	0.5835886001586914	0.0631103515625	1.132096290588379
5.0	0.48133206367492676	0.8860056400299072	0.06689286231994629	1.4342305660247803
6.0	0.39659881591796875	0.5913131237030029	0.06074643135070801	1.0486583709716797
7.0	0.37459874153137207	0.6716353893280029	0.06037425994873047	1.1066083908081055
8.0	0.3708791732788086	0.6078557968139648	0.06036019325256348	1.039095163345337
9.0	0.3163454532623291	0.5936203002929688	0.06015491485595703	0.9701206684112549
10.0	0.358447790145874	0.6533000469207764	0.06068110466003418	1.0724289417266846
